instruct.started,instruct.stopped,key_resp_instr.keys,key_resp_instr.rt,key_resp_instr.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,practice.started,practice.stopped,practicetrialskeys.keys,practicetrialskeys.rt,practicetrialskeys.duration,practicetrialss.thisRepN,practicetrialss.thisTrialN,practicetrialss.thisN,practicetrialss.thisIndex,practicetrialss.ran,text,letterColor,corrAns,congruent,RUready.started,RUready.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trials.started,trials.stopped,key_resp_trials.keys,key_resp_trials.corr,key_resp_trials.rt,key_resp_trials.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,thanks.started,thanks.stopped,key_resp.keys,key_resp.rt,key_resp.duration
0.000300003,35.5974,y,34.5784,,J04POSTTR,002,2025-02-26_15h50.18.057,strooptdcs_posttest,2024.2.2,MacIntel,56.81818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,J04POSTTR,002,2025-02-26_15h50.18.057,strooptdcs_posttest,2024.2.2,MacIntel,56.81818182,35.6201,36.7639,y,0.7125,,0,0,0,0,1,yellow,yellow,y,yes,,,,,,,,,,,,,,,,,,,,,
,,,,,J04POSTTR,002,2025-02-26_15h50.18.057,strooptdcs_posttest,2024.2.2,MacIntel,56.81818182,36.7657,38.7473,b,1.541799995,,0,1,1,1,1,green,blue,b,no,,,,,,,,,,,,,,,,,,,,,
,,,,,J04POSTTR,002,2025-02-26_15h50.18.057,strooptdcs_posttest,2024.2.2,MacIntel,56.81818182,38.7482,39.98,g,0.802900002,,0,2,2,2,1,green,green,g,yes,,,,,,,,,,,,,,,,,,,,,
,,,,,J04POSTTR,002,2025-02-26_15h50.18.057,strooptdcs_posttest,2024.2.2,MacIntel,56.81818182,39.9815,41.2974,g,0.875200005,,0,3,3,3,1,red,green,g,no,,,,,,,,,,,,,,,,,,,,,
,,,,,J04POSTTR,002,2025-02-26_15h50.18.057,strooptdcs_posttest,2024.2.2,MacIntel,56.81818182,41.2988,42.4307,y,0.691199997,,0,4,4,4,1,blue,yellow,y,no,,,,,,,,,,,,,,,,,,,,,
,,,,,J04POSTTR,002,2025-02-26_15h50.18.057,strooptdcs_posttest,2024.2.2,MacIntel,56.81818182,,,,,,,,,,,,,,,42.4313,45.4313,y,1.879199997,,,,,,,,,,,,,,,,,
,,,,,J04POSTTR,002,2025-02-26_15h50.18.057,strooptdcs_posttest,2024.2.2,MacIntel,56.81818182,,,,,,,,,,,red,red,r,yes,,,,,,45.4495,47.2813,r,1,1.437,,0,0,0,0,1,,,,,
,,,,,J04POSTTR,002,2025-02-26_15h50.18.057,strooptdcs_posttest,2024.2.2,MacIntel,56.81818182,,,,,,,,,,,blue,blue,b,yes,,,,,,47.2832,48.3642,b,1,0.695300003,,0,1,1,1,1,,,,,
,,,,,J04POSTTR,002,2025-02-26_15h50.18.057,strooptdcs_posttest,2024.2.2,MacIntel,56.81818182,,,,,,,,,,,yellow,green,g,no,,,,,,48.3654,49.5476,g,1,0.785599998,,0,2,2,2,1,,,,,
,,,,,J04POSTTR,002,2025-02-26_15h50.18.057,strooptdcs_posttest,2024.2.2,MacIntel,56.81818182,,,,,,,,,,,blue,green,g,no,,,,,,49.549,50.7312,g,1,0.796,,0,3,3,3,1,,,,,
,,,,,J04POSTTR,002,2025-02-26_15h50.18.057,strooptdcs_posttest,2024.2.2,MacIntel,56.81818182,,,,,,,,,,,green,green,g,yes,,,,,,50.7326,51.7643,g,1,0.645099998,,0,4,4,4,1,,,,,
,,,,,J04POSTTR,002,2025-02-26_15h50.18.057,strooptdcs_posttest,2024.2.2,MacIntel,56.81818182,,,,,,,,,,,blue,red,r,no,,,,,,51.7656,52.7809,r,1,0.629300003,,0,5,5,5,1,,,,,
,,,,,J04POSTTR,002,2025-02-26_15h50.18.057,strooptdcs_posttest,2024.2.2,MacIntel,56.81818182,,,,,,,,,,,yellow,green,g,no,,,,,,52.7821,54.2811,g,1,1.111300003,,0,6,6,6,1,,,,,
,,,,,J04POSTTR,002,2025-02-26_15h50.18.057,strooptdcs_posttest,2024.2.2,MacIntel,56.81818182,,,,,,,,,,,blue,green,g,no,,,,,,54.2822,55.7812,g,1,1.101400002,,0,7,7,7,1,,,,,
,,,,,J04POSTTR,002,2025-02-26_15h50.18.057,strooptdcs_posttest,2024.2.2,MacIntel,56.81818182,,,,,,,,,,,green,green,g,yes,,,,,,55.7822,56.6972,g,1,0.528900002,,0,8,8,8,1,,,,,
,,,,,J04POSTTR,002,2025-02-26_15h50.18.057,strooptdcs_posttest,2024.2.2,MacIntel,56.81818182,,,,,,,,,,,yellow,yellow,y,yes,,,,,,56.6984,57.7644,y,1,0.676900002,,0,9,9,9,1,,,,,
,,,,,J04POSTTR,002,2025-02-26_15h50.18.057,strooptdcs_posttest,2024.2.2,MacIntel,56.81818182,,,,,,,,,,,yellow,yellow,y,yes,,,,,,57.7648,58.7645,y,1,0.601800003,,0,10,10,10,1,,,,,
,,,,,J04POSTTR,002,2025-02-26_15h50.18.057,strooptdcs_posttest,2024.2.2,MacIntel,56.81818182,,,,,,,,,,,green,green,g,yes,,,,,,58.7659,59.7478,g,1,0.584199997,,0,11,11,11,1,,,,,
,,,,,J04POSTTR,002,2025-02-26_15h50.18.057,strooptdcs_posttest,2024.2.2,MacIntel,56.81818182,,,,,,,,,,,yellow,blue,b,no,,,,,,59.7488,61.3144,b,1,1.168399994,,0,12,12,12,1,,,,,
,,,,,J04POSTTR,002,2025-02-26_15h50.18.057,strooptdcs_posttest,2024.2.2,MacIntel,56.81818182,,,,,,,,,,,green,red,r,no,,,,,,61.3155,62.298,r,1,0.597099998,,0,13,13,13,1,,,,,
,,,,,J04POSTTR,002,2025-02-26_15h50.18.057,strooptdcs_posttest,2024.2.2,MacIntel,56.81818182,,,,,,,,,,,red,red,r,yes,,,,,,62.2992,63.4813,r,1,0.795699997,,0,14,14,14,1,,,,,
,,,,,J04POSTTR,002,2025-02-26_15h50.18.057,strooptdcs_posttest,2024.2.2,MacIntel,56.81818182,,,,,,,,,,,blue,blue,b,yes,,,,,,63.4824,64.5151,b,1,0.647200005,,0,15,15,15,1,,,,,
,,,,,J04POSTTR,002,2025-02-26_15h50.18.057,strooptdcs_posttest,2024.2.2,MacIntel,56.81818182,,,,,,,,,,,red,yellow,y,no,,,,,,64.5162,65.698,y,1,0.7845,,0,16,16,16,1,,,,,
,,,,,J04POSTTR,002,2025-02-26_15h50.18.057,strooptdcs_posttest,2024.2.2,MacIntel,56.81818182,,,,,,,,,,,red,yellow,y,no,,,,,,65.6984,66.7815,y,1,0.687299995,,0,17,17,17,1,,,,,
,,,,,J04POSTTR,002,2025-02-26_15h50.18.057,strooptdcs_posttest,2024.2.2,MacIntel,56.81818182,,,,,,,,,,,green,yellow,y,no,,,,,,66.783,67.9482,y,1,0.778699997,,0,18,18,18,1,,,,,
,,,,,J04POSTTR,002,2025-02-26_15h50.18.057,strooptdcs_posttest,2024.2.2,MacIntel,56.81818182,,,,,,,,,,,blue,yellow,y,no,,,,,,67.9493,69.4816,y,1,1.146599998,,0,19,19,19,1,,,,,
,,,,,J04POSTTR,002,2025-02-26_15h50.18.057,strooptdcs_posttest,2024.2.2,MacIntel,56.81818182,,,,,,,,,,,yellow,yellow,y,yes,,,,,,69.4826,70.432,y,1,0.562,,0,20,20,20,1,,,,,
,,,,,J04POSTTR,002,2025-02-26_15h50.18.057,strooptdcs_posttest,2024.2.2,MacIntel,56.81818182,,,,,,,,,,,red,red,r,yes,,,,,,70.4331,71.4485,r,1,0.618599998,,0,21,21,21,1,,,,,
,,,,,J04POSTTR,002,2025-02-26_15h50.18.057,strooptdcs_posttest,2024.2.2,MacIntel,56.81818182,,,,,,,,,,,green,green,g,yes,,,,,,71.4498,72.4484,g,1,0.600599998,,0,22,22,22,1,,,,,
