instruct.started,instruct.stopped,key_resp_instr.keys,key_resp_instr.rt,key_resp_instr.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,practice.started,practice.stopped,practicetrialskeys.keys,practicetrialskeys.rt,practicetrialskeys.duration,practicetrialss.thisRepN,practicetrialss.thisTrialN,practicetrialss.thisN,practicetrialss.thisIndex,practicetrialss.ran,text,letterColor,corrAns,congruent,RUready.started,RUready.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trials.started,trials.stopped,key_resp_trials.keys,key_resp_trials.corr,key_resp_trials.rt,key_resp_trials.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,thanks.started,thanks.stopped,key_resp.keys,key_resp.rt,key_resp.duration
0.000199997,20.8791,y,19.8517,,B01POSTSH,post,2024-10-24_14h36.48.001,strooptdcs_posttest,2024.2.2,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,B01POSTSH,post,2024-10-24_14h36.48.001,strooptdcs_posttest,2024.2.2,MacIntel,60.24096386,20.9028,22.6789,y,1.346399994,,0,0,0,0,1,yellow,yellow,y,yes,,,,,,,,,,,,,,,,,,,,,
,,,,,B01POSTSH,post,2024-10-24_14h36.48.001,strooptdcs_posttest,2024.2.2,MacIntel,60.24096386,22.6807,24.7294,b,1.617199997,,0,1,1,1,1,green,blue,b,no,,,,,,,,,,,,,,,,,,,,,
,,,,,B01POSTSH,post,2024-10-24_14h36.48.001,strooptdcs_posttest,2024.2.2,MacIntel,60.24096386,24.73,26.0123,g,0.859399994,,0,2,2,2,1,green,green,g,yes,,,,,,,,,,,,,,,,,,,,,
,,,,,B01POSTSH,post,2024-10-24_14h36.48.001,strooptdcs_posttest,2024.2.2,MacIntel,60.24096386,26.0138,27.3454,g,0.907300003,,0,3,3,3,1,red,green,g,no,,,,,,,,,,,,,,,,,,,,,
,,,,,B01POSTSH,post,2024-10-24_14h36.48.001,strooptdcs_posttest,2024.2.2,MacIntel,60.24096386,27.3468,28.6788,y,0.9,,0,4,4,4,1,blue,yellow,y,no,,,,,,,,,,,,,,,,,,,,,
,,,,,B01POSTSH,post,2024-10-24_14h36.48.001,strooptdcs_posttest,2024.2.2,MacIntel,60.24096386,,,,,,,,,,,,,,,28.6792,32.8461,y,3.033299995,,,,,,,,,,,,,,,,,
,,,,,B01POSTSH,post,2024-10-24_14h36.48.001,strooptdcs_posttest,2024.2.2,MacIntel,60.24096386,,,,,,,,,,,red,red,r,yes,,,,,,32.8566,34.6119,r,1,1.355900002,,0,0,0,0,1,,,,,
,,,,,B01POSTSH,post,2024-10-24_14h36.48.001,strooptdcs_posttest,2024.2.2,MacIntel,60.24096386,,,,,,,,,,,blue,blue,b,yes,,,,,,34.6136,35.9793,b,1,0.978599998,,0,1,1,1,1,,,,,
,,,,,B01POSTSH,post,2024-10-24_14h36.48.001,strooptdcs_posttest,2024.2.2,MacIntel,60.24096386,,,,,,,,,,,yellow,green,g,no,,,,,,35.9806,38.1626,g,1,1.784,,0,2,2,2,1,,,,,
,,,,,B01POSTSH,post,2024-10-24_14h36.48.001,strooptdcs_posttest,2024.2.2,MacIntel,60.24096386,,,,,,,,,,,blue,green,g,no,,,,,,38.1637,39.4292,g,1,0.865799995,,0,3,3,3,1,,,,,
,,,,,B01POSTSH,post,2024-10-24_14h36.48.001,strooptdcs_posttest,2024.2.2,MacIntel,60.24096386,,,,,,,,,,,green,green,g,yes,,,,,,39.4303,40.596,g,1,0.767700005,,0,4,4,4,1,,,,,
,,,,,B01POSTSH,post,2024-10-24_14h36.48.001,strooptdcs_posttest,2024.2.2,MacIntel,60.24096386,,,,,,,,,,,blue,red,r,no,,,,,,40.5971,41.8116,r,1,0.818400002,,0,5,5,5,1,,,,,
,,,,,B01POSTSH,post,2024-10-24_14h36.48.001,strooptdcs_posttest,2024.2.2,MacIntel,60.24096386,,,,,,,,,,,yellow,green,g,no,,,,,,41.8128,43.1462,g,1,0.936399994,,0,6,6,6,1,,,,,
,,,,,B01POSTSH,post,2024-10-24_14h36.48.001,strooptdcs_posttest,2024.2.2,MacIntel,60.24096386,,,,,,,,,,,blue,green,g,no,,,,,,43.1477,44.196,g,1,0.661400002,,0,7,7,7,1,,,,,
,,,,,B01POSTSH,post,2024-10-24_14h36.48.001,strooptdcs_posttest,2024.2.2,MacIntel,60.24096386,,,,,,,,,,,green,green,g,yes,,,,,,44.197,45.2793,g,1,0.693900002,,0,8,8,8,1,,,,,
,,,,,B01POSTSH,post,2024-10-24_14h36.48.001,strooptdcs_posttest,2024.2.2,MacIntel,60.24096386,,,,,,,,,,,yellow,yellow,y,yes,,,,,,45.2807,46.312,y,1,0.645899994,,0,9,9,9,1,,,,,
,,,,,B01POSTSH,post,2024-10-24_14h36.48.001,strooptdcs_posttest,2024.2.2,MacIntel,60.24096386,,,,,,,,,,,yellow,yellow,y,yes,,,,,,46.3124,47.296,y,1,0.595299995,,0,10,10,10,1,,,,,
,,,,,B01POSTSH,post,2024-10-24_14h36.48.001,strooptdcs_posttest,2024.2.2,MacIntel,60.24096386,,,,,,,,,,,green,green,g,yes,,,,,,47.297,48.2626,g,1,0.576400002,,0,11,11,11,1,,,,,
,,,,,B01POSTSH,post,2024-10-24_14h36.48.001,strooptdcs_posttest,2024.2.2,MacIntel,60.24096386,,,,,,,,,,,yellow,blue,b,no,,,,,,48.2635,49.2796,b,1,0.616599998,,0,12,12,12,1,,,,,
,,,,,B01POSTSH,post,2024-10-24_14h36.48.001,strooptdcs_posttest,2024.2.2,MacIntel,60.24096386,,,,,,,,,,,green,red,r,no,,,,,,49.2807,50.2128,r,1,0.545299995,,0,13,13,13,1,,,,,
,,,,,B01POSTSH,post,2024-10-24_14h36.48.001,strooptdcs_posttest,2024.2.2,MacIntel,60.24096386,,,,,,,,,,,red,red,r,yes,,,,,,50.2139,51.2296,r,1,0.6165,,0,14,14,14,1,,,,,
,,,,,B01POSTSH,post,2024-10-24_14h36.48.001,strooptdcs_posttest,2024.2.2,MacIntel,60.24096386,,,,,,,,,,,blue,blue,b,yes,,,,,,51.2306,52.3119,b,1,0.683,,0,15,15,15,1,,,,,
,,,,,B01POSTSH,post,2024-10-24_14h36.48.001,strooptdcs_posttest,2024.2.2,MacIntel,60.24096386,,,,,,,,,,,red,yellow,y,no,,,,,,52.3132,53.3129,y,1,0.604300003,,0,16,16,16,1,,,,,
,,,,,B01POSTSH,post,2024-10-24_14h36.48.001,strooptdcs_posttest,2024.2.2,MacIntel,60.24096386,,,,,,,,,,,red,yellow,y,no,,,,,,53.3136,54.2463,y,1,0.544599998,,0,17,17,17,1,,,,,
,,,,,B01POSTSH,post,2024-10-24_14h36.48.001,strooptdcs_posttest,2024.2.2,MacIntel,60.24096386,,,,,,,,,,,green,yellow,y,no,,,,,,54.2473,55.212,y,1,0.571599998,,0,18,18,18,1,,,,,
,,,,,B01POSTSH,post,2024-10-24_14h36.48.001,strooptdcs_posttest,2024.2.2,MacIntel,60.24096386,,,,,,,,,,,blue,yellow,y,no,,,,,,55.2131,56.0966,y,1,0.496699997,,0,19,19,19,1,,,,,
,,,,,B01POSTSH,post,2024-10-24_14h36.48.001,strooptdcs_posttest,2024.2.2,MacIntel,60.24096386,,,,,,,,,,,yellow,yellow,y,yes,,,,,,56.0977,56.8799,y,1,0.395,,0,20,20,20,1,,,,,
,,,,,B01POSTSH,post,2024-10-24_14h36.48.001,strooptdcs_posttest,2024.2.2,MacIntel,60.24096386,,,,,,,,,,,red,red,r,yes,,,,,,56.8811,57.912,r,1,0.645700005,,0,21,21,21,1,,,,,
,,,,,B01POSTSH,post,2024-10-24_14h36.48.001,strooptdcs_posttest,2024.2.2,MacIntel,60.24096386,,,,,,,,,,,green,green,g,yes,,,,,,57.9132,58.8299,g,1,0.528700005,,0,22,22,22,1,,,,,
